

           p           t          cp           h           m          mw         gam         rho
   6.0000E+00  5.0000E+03  5.2039E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  5.7655E-01
   6.0000E+00  6.0000E+03  5.2146E-01  2.9673E+03  0.0000E+00  3.9948E+01  1.6646E+00  4.8046E-01
   6.0000E+00  7.0000E+03  5.2948E-01  3.4923E+03  0.0000E+00  3.9944E+01  1.6509E+00  4.1178E-01
   6.0000E+00  8.0000E+03  5.6352E-01  4.0350E+03  0.0000E+00  3.9922E+01  1.6009E+00  3.6011E-01
   6.0000E+00  9.0000E+03  6.6828E-01  4.6426E+03  0.0000E+00  3.9842E+01  1.4932E+00  3.1945E-01
   6.0000E+00  1.0000E+04  9.0945E-01  5.4167E+03  0.0000E+00  3.9613E+01  1.3674E+00  2.8586E-01
   6.0000E+00  1.1000E+04  1.3750E+00  6.5362E+03  0.0000E+00  3.9092E+01  1.2724E+00  2.5645E-01
   6.0000E+00  1.2000E+04  2.1624E+00  8.2742E+03  0.0000E+00  3.8086E+01  1.2172E+00  2.2903E-01
   6.0000E+00  1.3000E+04  3.3486E+00  1.0995E+04  0.0000E+00  3.6418E+01  1.1898E+00  2.0216E-01
   6.0000E+00  1.4000E+04  4.9194E+00  1.5102E+04  0.0000E+00  3.4025E+01  1.1784E+00  1.7538E-01
   6.0000E+00  1.5000E+04  6.6239E+00  2.0883E+04  0.0000E+00  3.1075E+01  1.1766E+00  1.4950E-01
   6.0000E+00  1.6000E+04  7.8432E+00  2.8190E+04  0.0000E+00  2.7991E+01  1.1816E+00  1.2624E-01
   6.0000E+00  1.7000E+04  7.8673E+00  3.6162E+04  0.0000E+00  2.5283E+01  1.1930E+00  1.0732E-01
   6.0000E+00  1.8000E+04  6.6648E+00  4.3505E+04  0.0000E+00  2.3270E+01  1.2120E+00  9.3289E-02
   6.0000E+00  1.9000E+04  4.9993E+00  4.9339E+04  0.0000E+00  2.1956E+01  1.2408E+00  8.3388E-02
   7.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  3.3632E+00
   7.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.6816E+00
   7.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.1211E+00
   7.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  8.4081E-01
   7.0000E+00  5.0000E+03  5.2039E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  6.7265E-01
   7.0000E+00  6.0000E+03  5.2138E-01  2.9672E+03  0.0000E+00  3.9948E+01  1.6648E+00  5.6053E-01
   7.0000E+00  7.0000E+03  5.2880E-01  3.4919E+03  0.0000E+00  3.9944E+01  1.6521E+00  4.8041E-01
   7.0000E+00  8.0000E+03  5.6028E-01  4.0329E+03  0.0000E+00  3.9924E+01  1.6053E+00  4.2015E-01
   7.0000E+00  9.0000E+03  6.5737E-01  4.6341E+03  0.0000E+00  3.9849E+01  1.5023E+00  3.7277E-01
   7.0000E+00  1.0000E+04  8.8078E-01  5.3895E+03  0.0000E+00  3.9638E+01  1.3781E+00  3.3371E-01
   7.0000E+00  1.1000E+04  1.3121E+00  6.4649E+03  0.0000E+00  3.9154E+01  1.2812E+00  2.9967E-01
   7.0000E+00  1.2000E+04  2.0422E+00  8.1135E+03  0.0000E+00  3.8218E+01  1.2233E+00  2.6813E-01
   7.0000E+00  1.3000E+04  3.1458E+00  1.0674E+04  0.0000E+00  3.6656E+01  1.1937E+00  2.3739E-01
   7.0000E+00  1.4000E+04  4.6228E+00  1.4532E+04  0.0000E+00  3.4393E+01  1.1809E+00  2.0683E-01
   7.0000E+00  1.5000E+04  6.2752E+00  1.9983E+04  0.0000E+00  3.1557E+01  1.1780E+00  1.7712E-01
   7.0000E+00  1.6000E+04  7.5753E+00  2.6967E+04  0.0000E+00  2.8519E+01  1.1819E+00  1.5006E-01
   7.0000E+00  1.7000E+04  7.8358E+00  3.4781E+04  0.0000E+00  2.5766E+01  1.1921E+00  1.2760E-01
