Relative Time,Date,Time Stamp UTC,Volt,Volt,Volt,Volt,Chn 1 Events
1.4,2023-07-21,6:32:34 PM,1.081542969,0.000305176,-0.001220703,0,
1.41,2023-07-21,6:32:34 PM,1.081848145,0.000305176,-0.001220703,0,
1.42,2023-07-21,6:32:34 PM,1.081237793,0.000305176,-0.001220703,0,
1.43,2023-07-21,6:32:34 PM,1.08001709,0.000305176,-0.001220703,0,
1.44,2023-07-21,6:32:34 PM,1.077270508,0.000305176,-0.001220703,0,
1.45,2023-07-21,6:32:34 PM,1.07421875,0.000305176,-0.001220703,0.000305176,
1.46,2023-07-21,6:32:34 PM,1.071777344,0.000305176,-0.001220703,0.000305176,
1.47,2023-07-21,6:32:34 PM,1.070251465,0.000305176,-0.001220703,0,
1.48,2023-07-21,6:32:34 PM,1.070556641,0.000305176,-0.001220703,0,
1.49,2023-07-21,6:32:34 PM,1.072998047,0.000305176,-0.001220703,0,
1.5,2023-07-21,6:32:34 PM,1.075134277,0.000305176,-0.001220703,0,
1.51,2023-07-21,6:32:34 PM,1.076660156,0.000305176,-0.001220703,0,
1.52,2023-07-21,6:32:34 PM,1.07635498,0.000305176,-0.001220703,0,
1.53,2023-07-21,6:32:34 PM,1.075439453,0.000305176,-0.001220703,0.000305176,
1.54,2023-07-21,6:32:34 PM,1.073303223,0.000305176,-0.001220703,0.000305176,
1.55,2023-07-21,6:32:34 PM,1.070556641,0.000305176,-0.001220703,0.000305176,
1.56,2023-07-21,6:32:34 PM,1.068115234,0.000305176,-0.001220703,0.000305176,
1.57,2023-07-21,6:32:34 PM,1.066589355,0.000305176,-0.001220703,0.000305176,
1.58,2023-07-21,6:32:34 PM,1.065979004,0.000305176,-0.001220703,0.000305176,
1.59,2023-07-21,6:32:34 PM,1.066894531,0.000305176,-0.001220703,0.000305176,
1.6,2023-07-21,6:32:34 PM,1.068725586,0.000305176,-0.001220703,0.000305176,
1.61,2023-07-21,6:32:34 PM,1.069946289,0.000610352,-0.001220703,0.000305176,
1.62,2023-07-21,6:32:34 PM,1.070556641,0.000610352,-0.001220703,0.000305176,
1.63,2023-07-21,6:32:34 PM,1.070251465,0.000305176,-0.001220703,0.000305176,
1.64,2023-07-21,6:32:34 PM,1.068725586,0.000305176,-0.001220703,0.000305176,
1.65,2023-07-21,6:32:34 PM,1.066589355,0.000305176,-0.001220703,0.000305176,
1.66,2023-07-21,6:32:34 PM,1.064453125,0.000305176,-0.001220703,0,
1.67,2023-07-21,6:32:34 PM,1.063232422,0.000305176,-0.001220703,0,
1.68,2023-07-21,6:32:34 PM,1.062316895,0.000305176,-0.001220703,0,
1.69,2023-07-21,6:32:34 PM,1.062316895,0.000305176,-0.001220703,0,
1.7,2023-07-21,6:32:34 PM,1.063232422,0.000305176,-0.001220703,0,
1.71,2023-07-21,6:32:34 PM,1.063842773,0.000305176,-0.001220703,0,
1.72,2023-07-21,6:32:34 PM,1.064453125,0.000305176,-0.001220703,0,
1.73,2023-07-21,6:32:34 PM,1.065673828,0.000305176,-0.001220703,0.000305176,
1.74,2023-07-21,6:32:34 PM,1.065673828,0.000305176,-0.001220703,0,
1.75,2023-07-21,6:32:34 PM,1.064453125,0.000305176,-0.001220703,0,
1.76,2023-07-21,6:32:34 PM,1.063537598,0.000305176,-0.001220703,0,
1.77,2023-07-21,6:32:34 PM,1.062316895,0.000305176,-0.001220703,0,
1.78,2023-07-21,6:32:34 PM,1.060791016,0.000305176,-0.001220703,0,
1.79,2023-07-21,6:32:34 PM,1.059570313,0.000305176,-0.001220703,0,
1.8,2023-07-21,6:32:34 PM,1.058349609,0.000305176,-0.001220703,0,
1.81,2023-07-21,6:32:34 PM,1.058349609,0.000305176,-0.001220703,0,
1.82,2023-07-21,6:32:34 PM,1.059570313,0.000305176,-0.001220703,0,
1.83,2023-07-21,6:32:34 PM,1.061401367,0.000305176,-0.001220703,0,
1.84,2023-07-21,6:32:34 PM,1.062316895,0.000305176,-0.001220703,0,
1.85,2023-07-21,6:32:34 PM,1.062316895,0.000305176,-0.001220703,0,
1.86,2023-07-21,6:32:34 PM,1.061401367,0.000305176,-0.001220703,0.000305176,
1.87,2023-07-21,6:32:34 PM,1.059570313,0.000305176,-0.001220703,0.000305176,
1.88,2023-07-21,6:32:34 PM,1.057434082,0.000305176,-0.001220703,0.000305176,
1.89,2023-07-21,6:32:34 PM,1.056213379,0.000305176,-0.001220703,0.000305176,
1.9,2023-07-21,6:32:34 PM,1.056213379,0.000305176,-0.001220703,0.000305176,
1.91,2023-07-21,6:32:34 PM,1.056213379,0.000305176,-0.001220703,0.000305176,
1.92,2023-07-21,6:32:34 PM,1.056518555,0.000305176,-0.001220703,0,
